Year,Month,Day of the Week,Hour,Location Type,Status,Day Part
2014,May,Thursday,16,"Single Home, House",Stolen,Afternoon
2014,May,Sunday,9,"Streets, Roads, Highways",Stolen,Morning
2014,May,Sunday,8,"Streets, Roads, Highways",Stolen,Morning
2014,May,Friday,18,Private Property Structure,Stolen,Evening
2014,May,Monday,9,"Streets, Roads, Highways",Stolen,Morning
2014,April,Saturday,19,Parking Lots,Stolen,Evening
2014,May,Monday,16,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2014,April,Monday,10,Parking Lots,Stolen,Morning
2014,May,Monday,14,"Streets, Roads, Highways",Stolen,Afternoon
2014,May,Monday,18,"Streets, Roads, Highways",Stolen,Evening
2014,May,Sunday,22,Parking Lots,Stolen,Evening
2014,May,Sunday,22,Apartment,Stolen,Evening
2014,May,Sunday,22,Parking Lots,Stolen,Evening
2014,May,Monday,8,Schools During Supervised Activity,Stolen,Morning
2014,May,Tuesday,8,Hospital / Institutions / Medical Facilities,Stolen,Morning
2014,May,Thursday,17,Apartment,Stolen,Afternoon
2014,May,Thursday,19,"Streets, Roads, Highways",Stolen,Evening
2014,May,Monday,3,Schools During Un-Supervised Activity,Stolen,Overnight
2014,May,Sunday,23,Apartment,Stolen,Evening
2014,May,Tuesday,8,Parking Lots,Stolen,Morning
2014,May,Tuesday,16,"Streets, Roads, Highways",Stolen,Afternoon
2014,May,Tuesday,22,Apartment,Stolen,Evening
2014,May,Wednesday,18,"Streets, Roads, Highways",Stolen,Evening
2014,May,Tuesday,11,"Streets, Roads, Highways",Stolen,Morning
2014,May,Wednesday,19,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Evening
2014,May,Tuesday,9,"Streets, Roads, Highways",Stolen,Morning
2014,May,Wednesday,10,"Streets, Roads, Highways",Stolen,Morning
2014,May,Wednesday,11,"Streets, Roads, Highways",Stolen,Morning
2014,May,Wednesday,14,"Streets, Roads, Highways",Stolen,Afternoon
2014,April,Saturday,18,Other Non Commercial / Corporate Places,Stolen,Evening
2014,May,Wednesday,17,"Streets, Roads, Highways",Stolen,Afternoon
2014,May,Wednesday,23,Apartment,Stolen,Evening
2014,May,Wednesday,21,"Single Home, House",Stolen,Evening
2014,May,Monday,8,Private Property Structure,Stolen,Morning
2014,April,Wednesday,18,"Streets, Roads, Highways",Stolen,Evening
2014,May,Thursday,12,"Streets, Roads, Highways",Stolen,Afternoon
2014,May,Monday,8,Private Property Structure,Stolen,Morning
2014,May,Thursday,19,"Streets, Roads, Highways",Stolen,Evening
2014,May,Thursday,9,"Streets, Roads, Highways",Stolen,Morning
2014,May,Thursday,14,Schools During Supervised Activity,Stolen,Afternoon
2014,May,Thursday,9,Parking Lots,Stolen,Morning
2014,May,Thursday,7,Private Property Structure,Stolen,Morning
2014,May,Friday,13,Universities / Colleges,Stolen,Afternoon
2014,May,Thursday,21,"Single Home, House",Stolen,Evening
2014,May,Friday,7,"Single Home, House",Stolen,Morning
2014,May,Friday,15,"Streets, Roads, Highways",Stolen,Afternoon
2014,May,Friday,10,"Streets, Roads, Highways",Stolen,Morning
2014,May,Friday,8,Go Station,Stolen,Morning
2014,May,Wednesday,17,Parking Lots,Stolen,Afternoon
2014,May,Thursday,21,"Single Home, House",Stolen,Evening
2014,May,Saturday,16,Other Non Commercial / Corporate Places,Stolen,Afternoon
2014,May,Saturday,14,"Streets, Roads, Highways",Stolen,Afternoon
2014,May,Friday,18,"Single Home, House",Stolen,Evening
2014,February,Wednesday,19,"Single Home, House",Stolen,Evening
2014,May,Saturday,15,"Streets, Roads, Highways",Stolen,Afternoon
2014,February,Wednesday,19,"Single Home, House",Stolen,Evening
2014,May,Saturday,16,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2014,May,Wednesday,1,Parking Lots,Stolen,Overnight
2014,May,Sunday,18,Other Non Commercial / Corporate Places,Stolen,Evening
2014,May,Sunday,18,Parking Lots,Recovered,Evening
2014,May,Friday,17,Apartment,Stolen,Afternoon
2014,April,Sunday,12,Private Property Structure,Stolen,Afternoon
2014,May,Sunday,14,Apartment,Stolen,Afternoon
2014,May,Sunday,7,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2014,May,Saturday,11,"Streets, Roads, Highways",Stolen,Morning
2014,May,Sunday,15,"Single Home, House",Stolen,Afternoon
2014,May,Sunday,23,"Single Home, House",Stolen,Evening
2014,May,Monday,1,Private Property Structure,Stolen,Overnight
2014,May,Monday,8,Private Property Structure,Recovered,Morning
2014,May,Thursday,12,Universities / Colleges,Stolen,Afternoon
2014,May,Sunday,19,Private Property Structure,Stolen,Evening
2014,May,Sunday,2,Apartment,Stolen,Overnight
2014,May,Friday,8,Private Property Structure,Stolen,Morning
2014,May,Sunday,19,Private Property Structure,Stolen,Evening
2014,May,Monday,8,Private Property Structure,Stolen,Morning
2014,May,Monday,15,Universities / Colleges,Stolen,Afternoon
2014,May,Saturday,2,"Single Home, House",Stolen,Overnight
2014,May,Friday,7,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2014,May,Thursday,8,Universities / Colleges,Stolen,Morning
2014,May,Tuesday,5,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Overnight
2014,May,Saturday,14,"Streets, Roads, Highways",Stolen,Afternoon
2014,May,Thursday,22,Private Property Structure,Stolen,Evening
2014,May,Tuesday,8,"Streets, Roads, Highways",Stolen,Morning
2014,May,Tuesday,5,Parking Lots,Stolen,Overnight
2014,May,Monday,23,"Single Home, House",Stolen,Evening
2014,May,Monday,18,Other Non Commercial / Corporate Places,Stolen,Evening
